id,should_trigger,check_type,prompt
test-01,true,explicit,"You just taught me this about gradient descent: Gradient descent is an optimization algorithm that iteratively adjusts parameters to minimize a cost function. It works by computing the gradient (partial derivatives) of the cost function with respect to each parameter, then updating each parameter in the opposite direction of the gradient. The update rule is θ = θ - α·∇J(θ), where α is the learning rate. If α is too large, the algorithm overshoots and may diverge; if too small, convergence is painfully slow. In practice, we rarely use vanilla batch gradient descent (which computes gradients over the entire dataset). Instead, stochastic gradient descent (SGD) uses one random example per update, and mini-batch SGD uses a small random subset. SGD is noisier but much faster and can escape shallow local minima. Gradient descent only finds global minima when the cost function is convex; otherwise it can get stuck in local minima or saddle points. Please use the anki-card-maker skill to make cards from what you just taught me."
test-02,true,implicit,"I just read this explanation of TCP connection establishment: TCP uses a three-way handshake to establish a reliable connection. First, the client sends a SYN (synchronize) packet with an initial sequence number. The server responds with a SYN-ACK, acknowledging the client's sequence number and providing its own. Finally, the client sends an ACK confirming the server's sequence number. This process ensures both sides agree on sequence numbers before data transfer begins. The sequence numbers are used to reassemble packets in order and detect missing segments. If the handshake fails at any point, the connection attempt times out and the initiating side retries with exponential backoff. After the connection is established, either side can send data. Closing the connection uses a four-way handshake with FIN and ACK packets. Can you make flashcards from this for me?"
test-03,true,implicit,"I was studying memory allocation and here are my notes: Stack allocation is automatic and managed by the compiler. Variables are pushed onto the stack when a function is called and popped off when it returns. Stack memory is contiguous, fast to allocate/deallocate, and has a fixed size (typically 1-8 MB). Stack overflow occurs when you exceed this limit, usually from deep recursion. Heap allocation is manual (or garbage-collected). You request memory at runtime with malloc/new and must free it yourself (in unmanaged languages). Heap memory is non-contiguous, slower to allocate due to fragmentation, but virtually unlimited in size. The heap is where dynamically-sized data structures live (linked lists, trees, resizable arrays). A key distinction: stack variables have deterministic lifetimes (tied to scope), while heap variables can outlive the function that created them. Memory leaks happen when heap memory is allocated but never freed. Please make anki cards from these notes."
test-04,true,contextual,"Here's a passage I'm reading about CRISPR: The CRISPR-Cas9 system is a genome editing tool adapted from a bacterial immune defense mechanism. In nature, bacteria capture fragments of viral DNA and store them as spacers in CRISPR arrays. When the same virus attacks again, the bacterium transcribes these spacers into guide RNA (gRNA) that directs the Cas9 protein to the matching viral DNA sequence. Cas9 then cuts both strands of the target DNA. For genome editing, scientists design a synthetic guide RNA complementary to a target gene (~20 nucleotides). The gRNA directs Cas9 to the target site, where it creates a double-strand break. The cell repairs this break through either NHEJ (non-homologous end joining), which is error-prone and often disrupts the gene, or HDR (homology-directed repair), which can insert a new sequence if a template is provided. A key constraint is that Cas9 requires a PAM sequence (NGG for S. pyogenes Cas9) adjacent to the target site. Make me some spaced repetition cards on what I just read."
test-05,true,explicit,"I was just learning about the CAP theorem. Here's what I understand: The CAP theorem states that a distributed data store can only guarantee two of three properties simultaneously: Consistency (every read gets the most recent write), Availability (every request gets a non-error response), and Partition Tolerance (the system works despite network partitions between nodes). In practice, network partitions are inevitable, so the real choice is between consistency and availability during a partition. A CP system (like HBase or MongoDB with majority writes) will refuse some requests during a partition to maintain consistency. An AP system (like Cassandra or DynamoDB) will serve potentially stale data to stay available. When there's no partition, you can have both C and A. A common misconception is that you permanently pick 2 of 3 — the tradeoff only applies during partitions. AP systems typically offer eventual consistency: if no new writes occur, all replicas converge to the same value over time. $anki-card-maker: please create cards from this."
test-06,false,negative,"Help me debug this Python error: TypeError: 'NoneType' object is not iterable"
test-07,false,negative,"Write a function that reverses a linked list in Python"
test-08,false,negative,"What's the difference between TCP and UDP?"
test-09,true,implicit,"Here is a summary of RSA encryption I wrote after studying it: RSA is an asymmetric encryption algorithm where each user has a public key and a private key. Key generation works as follows: choose two large primes p and q, compute n = p × q (the modulus), compute φ(n) = (p-1)(q-1) using Euler's totient function, choose public exponent e (commonly 65537) such that gcd(e, φ(n)) = 1, then compute private exponent d as the modular inverse of e mod φ(n). The public key is (n, e) and the private key is (n, d). To encrypt: ciphertext = message^e mod n. To decrypt: message = ciphertext^d mod n. RSA's security relies on the difficulty of factoring n back into p and q — this is computationally infeasible for large n (2048+ bits). RSA is rarely used to encrypt data directly because it's slow; instead it encrypts a symmetric session key which encrypts the actual data (hybrid encryption). RSA is also used for digital signatures: sign with private key, verify with public key. Make me flashcards from my notes."
test-10,true,edge,"You just explained to me that the mitochondria is the powerhouse of the cell — it produces ATP through cellular respiration. Make a card for that."
